Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2012,2012,LCU,512125.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2013,2013,LCU,569014.3,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2014,2014,LCU,553159.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),56,Maize,2015,2015,LCU,513474.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2000,2000,USD,119.9,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2001,2001,USD,119.8,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2002,2002,USD,123.1,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2003,2003,USD,150.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2004,2004,USD,165.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2005,2005,USD,158,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2006,2006,USD,214.1,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2007,2007,USD,144.6,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2008,2008,USD,265,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2009,2009,USD,282.5,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2010,2010,USD,298.7,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2011,2011,USD,276.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),56,Maize,2012,2012,USD,323.5,F,FAO estimate
